03/19 05:58:47 PM | Epoch[0] (4864/50000):	Loss 1.5774	Accuracy 41.88%		Time 0.88s
03/19 05:58:47 PM | Epoch[0] (9728/50000):	Loss 1.2596	Accuracy 53.92%		Time 0.21s
03/19 05:58:48 PM | Epoch[0] (14592/50000):	Loss 1.1009	Accuracy 59.99%		Time 0.21s
03/19 05:58:48 PM | Epoch[0] (19456/50000):	Loss 1.0083	Accuracy 63.51%		Time 0.21s
03/19 05:58:48 PM | Epoch[0] (24320/50000):	Loss 0.9302	Accuracy 66.42%		Time 0.21s
03/19 05:58:48 PM | Epoch[0] (29184/50000):	Loss 0.8745	Accuracy 68.64%		Time 0.21s
03/19 05:58:48 PM | Epoch[0] (34048/50000):	Loss 0.8239	Accuracy 70.60%		Time 0.21s
03/19 05:58:49 PM | Epoch[0] (38912/50000):	Loss 0.7848	Accuracy 72.12%		Time 0.21s
03/19 05:58:49 PM | Epoch[0] (43776/50000):	Loss 0.7523	Accuracy 73.32%		Time 0.21s
03/19 05:58:49 PM | Epoch[0] (48640/50000):	Loss 0.7240	Accuracy 74.41%		Time 0.21s
03/19 05:58:50 PM | Test Loss 0.5811	Accuracy 80.75%		Time 0.33s

03/19 05:58:50 PM | Epoch[1] (4864/50000):	Loss 0.4550	Accuracy 84.38%		Time 0.30s
03/19 05:58:50 PM | Epoch[1] (9728/50000):	Loss 0.4386	Accuracy 85.06%		Time 0.21s
03/19 05:58:50 PM | Epoch[1] (14592/50000):	Loss 0.4316	Accuracy 85.40%		Time 0.21s
03/19 05:58:50 PM | Epoch[1] (19456/50000):	Loss 0.4285	Accuracy 85.55%		Time 0.21s
03/19 05:58:51 PM | Epoch[1] (24320/50000):	Loss 0.4200	Accuracy 85.83%		Time 0.21s
03/19 05:58:51 PM | Epoch[1] (29184/50000):	Loss 0.4145	Accuracy 86.02%		Time 0.21s
03/19 05:58:51 PM | Epoch[1] (34048/50000):	Loss 0.4093	Accuracy 86.22%		Time 0.21s
03/19 05:58:51 PM | Epoch[1] (38912/50000):	Loss 0.4044	Accuracy 86.40%		Time 0.21s
03/19 05:58:52 PM | Epoch[1] (43776/50000):	Loss 0.4027	Accuracy 86.46%		Time 0.21s
03/19 05:58:52 PM | Epoch[1] (48640/50000):	Loss 0.3999	Accuracy 86.53%		Time 0.21s
03/19 05:58:52 PM | Test Loss 0.5218	Accuracy 82.35%		Time 0.34s

03/19 05:58:53 PM | Epoch[2] (4864/50000):	Loss 0.3419	Accuracy 88.40%		Time 0.31s
03/19 05:58:53 PM | Epoch[2] (9728/50000):	Loss 0.3616	Accuracy 87.62%		Time 0.21s
03/19 05:58:53 PM | Epoch[2] (14592/50000):	Loss 0.3680	Accuracy 87.43%		Time 0.21s
03/19 05:58:53 PM | Epoch[2] (19456/50000):	Loss 0.3653	Accuracy 87.55%		Time 0.21s
03/19 05:58:53 PM | Epoch[2] (24320/50000):	Loss 0.3575	Accuracy 87.78%		Time 0.21s
03/19 05:58:54 PM | Epoch[2] (29184/50000):	Loss 0.3509	Accuracy 88.05%		Time 0.21s
03/19 05:58:54 PM | Epoch[2] (34048/50000):	Loss 0.3532	Accuracy 88.02%		Time 0.21s
03/19 05:58:54 PM | Epoch[2] (38912/50000):	Loss 0.3537	Accuracy 88.01%		Time 0.21s
03/19 05:58:54 PM | Epoch[2] (43776/50000):	Loss 0.3551	Accuracy 88.02%		Time 0.21s
03/19 05:58:55 PM | Epoch[2] (48640/50000):	Loss 0.3578	Accuracy 87.95%		Time 0.21s
03/19 05:58:55 PM | Test Loss 0.5945	Accuracy 80.82%		Time 0.33s

03/19 05:58:55 PM | Epoch[3] (4864/50000):	Loss 0.3164	Accuracy 89.55%		Time 0.30s
03/19 05:58:56 PM | Epoch[3] (9728/50000):	Loss 0.3273	Accuracy 88.96%		Time 0.21s
03/19 05:58:56 PM | Epoch[3] (14592/50000):	Loss 0.3322	Accuracy 88.79%		Time 0.21s
03/19 05:58:56 PM | Epoch[3] (19456/50000):	Loss 0.3309	Accuracy 88.93%		Time 0.21s
03/19 05:58:56 PM | Epoch[3] (24320/50000):	Loss 0.3307	Accuracy 88.88%		Time 0.21s
03/19 05:58:56 PM | Epoch[3] (29184/50000):	Loss 0.3295	Accuracy 88.84%		Time 0.21s
03/19 05:58:57 PM | Epoch[3] (34048/50000):	Loss 0.3321	Accuracy 88.76%		Time 0.21s
03/19 05:58:57 PM | Epoch[3] (38912/50000):	Loss 0.3301	Accuracy 88.86%		Time 0.21s
03/19 05:58:57 PM | Epoch[3] (43776/50000):	Loss 0.3304	Accuracy 88.82%		Time 0.21s
03/19 05:58:57 PM | Epoch[3] (48640/50000):	Loss 0.3306	Accuracy 88.84%		Time 0.21s
03/19 05:58:58 PM | Test Loss 0.4734	Accuracy 84.02%		Time 0.33s

03/19 05:58:58 PM | Epoch[4] (4864/50000):	Loss 0.3012	Accuracy 90.04%		Time 0.30s
03/19 05:58:58 PM | Epoch[4] (9728/50000):	Loss 0.3118	Accuracy 89.65%		Time 0.21s
03/19 05:58:59 PM | Epoch[4] (14592/50000):	Loss 0.3115	Accuracy 89.54%		Time 0.21s
03/19 05:58:59 PM | Epoch[4] (19456/50000):	Loss 0.3137	Accuracy 89.47%		Time 0.21s
03/19 05:58:59 PM | Epoch[4] (24320/50000):	Loss 0.3137	Accuracy 89.47%		Time 0.21s
03/19 05:58:59 PM | Epoch[4] (29184/50000):	Loss 0.3156	Accuracy 89.39%		Time 0.21s
03/19 05:58:59 PM | Epoch[4] (34048/50000):	Loss 0.3177	Accuracy 89.41%		Time 0.21s
03/19 05:59:00 PM | Epoch[4] (38912/50000):	Loss 0.3183	Accuracy 89.34%		Time 0.21s
03/19 05:59:00 PM | Epoch[4] (43776/50000):	Loss 0.3183	Accuracy 89.36%		Time 0.21s
03/19 05:59:00 PM | Epoch[4] (48640/50000):	Loss 0.3202	Accuracy 89.24%		Time 0.21s
03/19 05:59:01 PM | Test Loss 0.5072	Accuracy 83.21%		Time 0.33s

03/19 05:59:01 PM | Epoch[5] (4864/50000):	Loss 0.3496	Accuracy 88.61%		Time 0.32s
03/19 05:59:01 PM | Epoch[5] (9728/50000):	Loss 0.3314	Accuracy 88.90%		Time 0.21s
03/19 05:59:01 PM | Epoch[5] (14592/50000):	Loss 0.3192	Accuracy 89.28%		Time 0.21s
03/19 05:59:02 PM | Epoch[5] (19456/50000):	Loss 0.3157	Accuracy 89.38%		Time 0.21s
03/19 05:59:02 PM | Epoch[5] (24320/50000):	Loss 0.3178	Accuracy 89.28%		Time 0.21s
03/19 05:59:02 PM | Epoch[5] (29184/50000):	Loss 0.3144	Accuracy 89.37%		Time 0.21s
03/19 05:59:02 PM | Epoch[5] (34048/50000):	Loss 0.3140	Accuracy 89.42%		Time 0.21s
03/19 05:59:02 PM | Epoch[5] (38912/50000):	Loss 0.3144	Accuracy 89.35%		Time 0.21s
03/19 05:59:03 PM | Epoch[5] (43776/50000):	Loss 0.3147	Accuracy 89.36%		Time 0.21s
03/19 05:59:03 PM | Epoch[5] (48640/50000):	Loss 0.3159	Accuracy 89.28%		Time 0.21s
03/19 05:59:03 PM | Test Loss 0.5536	Accuracy 81.84%		Time 0.32s

03/19 05:59:04 PM | Epoch[6] (4864/50000):	Loss 0.3253	Accuracy 88.89%		Time 0.30s
03/19 05:59:04 PM | Epoch[6] (9728/50000):	Loss 0.3192	Accuracy 89.09%		Time 0.21s
03/19 05:59:04 PM | Epoch[6] (14592/50000):	Loss 0.3109	Accuracy 89.43%		Time 0.21s
03/19 05:59:04 PM | Epoch[6] (19456/50000):	Loss 0.3140	Accuracy 89.32%		Time 0.21s
03/19 05:59:04 PM | Epoch[6] (24320/50000):	Loss 0.3153	Accuracy 89.26%		Time 0.21s
03/19 05:59:05 PM | Epoch[6] (29184/50000):	Loss 0.3182	Accuracy 89.16%		Time 0.21s
03/19 05:59:05 PM | Epoch[6] (34048/50000):	Loss 0.3207	Accuracy 89.08%		Time 0.21s
03/19 05:59:05 PM | Epoch[6] (38912/50000):	Loss 0.3211	Accuracy 89.05%		Time 0.21s
03/19 05:59:05 PM | Epoch[6] (43776/50000):	Loss 0.3165	Accuracy 89.27%		Time 0.21s
03/19 05:59:06 PM | Epoch[6] (48640/50000):	Loss 0.3152	Accuracy 89.33%		Time 0.21s
03/19 05:59:06 PM | Test Loss 0.4461	Accuracy 85.33%		Time 0.33s

03/19 05:59:06 PM | Epoch[7] (4864/50000):	Loss 0.2764	Accuracy 91.17%		Time 0.30s
03/19 05:59:07 PM | Epoch[7] (9728/50000):	Loss 0.2859	Accuracy 90.68%		Time 0.21s
03/19 05:59:07 PM | Epoch[7] (14592/50000):	Loss 0.2806	Accuracy 90.74%		Time 0.21s
03/19 05:59:07 PM | Epoch[7] (19456/50000):	Loss 0.2885	Accuracy 90.47%		Time 0.21s
03/19 05:59:07 PM | Epoch[7] (24320/50000):	Loss 0.2880	Accuracy 90.51%		Time 0.21s
03/19 05:59:07 PM | Epoch[7] (29184/50000):	Loss 0.2909	Accuracy 90.38%		Time 0.21s
03/19 05:59:08 PM | Epoch[7] (34048/50000):	Loss 0.2970	Accuracy 90.07%		Time 0.21s
03/19 05:59:08 PM | Epoch[7] (38912/50000):	Loss 0.2990	Accuracy 90.01%		Time 0.21s
03/19 05:59:08 PM | Epoch[7] (43776/50000):	Loss 0.2989	Accuracy 90.03%		Time 0.21s
03/19 05:59:08 PM | Epoch[7] (48640/50000):	Loss 0.3006	Accuracy 89.99%		Time 0.21s
03/19 05:59:09 PM | Test Loss 0.5652	Accuracy 81.91%		Time 0.34s

03/19 05:59:09 PM | Epoch[8] (4864/50000):	Loss 0.3112	Accuracy 89.34%		Time 0.30s
03/19 05:59:09 PM | Epoch[8] (9728/50000):	Loss 0.2976	Accuracy 89.72%		Time 0.21s
03/19 05:59:10 PM | Epoch[8] (14592/50000):	Loss 0.2943	Accuracy 89.84%		Time 0.21s
03/19 05:59:10 PM | Epoch[8] (19456/50000):	Loss 0.2925	Accuracy 90.04%		Time 0.21s
03/19 05:59:10 PM | Epoch[8] (24320/50000):	Loss 0.2922	Accuracy 90.05%		Time 0.21s
03/19 05:59:10 PM | Epoch[8] (29184/50000):	Loss 0.2918	Accuracy 90.05%		Time 0.21s
03/19 05:59:10 PM | Epoch[8] (34048/50000):	Loss 0.2943	Accuracy 90.03%		Time 0.21s
03/19 05:59:11 PM | Epoch[8] (38912/50000):	Loss 0.2951	Accuracy 89.94%		Time 0.21s
03/19 05:59:11 PM | Epoch[8] (43776/50000):	Loss 0.2975	Accuracy 89.90%		Time 0.21s
03/19 05:59:11 PM | Epoch[8] (48640/50000):	Loss 0.2987	Accuracy 89.89%		Time 0.21s
03/19 05:59:11 PM | Test Loss 0.4312	Accuracy 85.74%		Time 0.33s

03/19 05:59:12 PM | Epoch[9] (4864/50000):	Loss 0.2979	Accuracy 89.90%		Time 0.30s
03/19 05:59:12 PM | Epoch[9] (9728/50000):	Loss 0.2938	Accuracy 89.94%		Time 0.21s
03/19 05:59:12 PM | Epoch[9] (14592/50000):	Loss 0.2955	Accuracy 89.92%		Time 0.21s
03/19 05:59:13 PM | Epoch[9] (19456/50000):	Loss 0.2988	Accuracy 89.88%		Time 0.21s
03/19 05:59:13 PM | Epoch[9] (24320/50000):	Loss 0.2990	Accuracy 89.97%		Time 0.21s
03/19 05:59:13 PM | Epoch[9] (29184/50000):	Loss 0.3016	Accuracy 89.93%		Time 0.21s
03/19 05:59:13 PM | Epoch[9] (34048/50000):	Loss 0.3031	Accuracy 89.91%		Time 0.21s
03/19 05:59:13 PM | Epoch[9] (38912/50000):	Loss 0.3038	Accuracy 89.87%		Time 0.21s
03/19 05:59:14 PM | Epoch[9] (43776/50000):	Loss 0.3053	Accuracy 89.78%		Time 0.21s
03/19 05:59:14 PM | Epoch[9] (48640/50000):	Loss 0.3065	Accuracy 89.76%		Time 0.21s
03/19 05:59:14 PM | Test Loss 0.4707	Accuracy 84.39%		Time 0.32s

03/19 05:59:15 PM | Epoch[10] (4864/50000):	Loss 0.2979	Accuracy 89.67%		Time 0.30s
03/19 05:59:15 PM | Epoch[10] (9728/50000):	Loss 0.3020	Accuracy 89.50%		Time 0.21s
03/19 05:59:15 PM | Epoch[10] (14592/50000):	Loss 0.2963	Accuracy 89.89%		Time 0.21s
03/19 05:59:15 PM | Epoch[10] (19456/50000):	Loss 0.2933	Accuracy 90.02%		Time 0.21s
03/19 05:59:15 PM | Epoch[10] (24320/50000):	Loss 0.2962	Accuracy 89.95%		Time 0.21s
03/19 05:59:16 PM | Epoch[10] (29184/50000):	Loss 0.2962	Accuracy 89.96%		Time 0.21s
03/19 05:59:16 PM | Epoch[10] (34048/50000):	Loss 0.2953	Accuracy 90.00%		Time 0.21s
03/19 05:59:16 PM | Epoch[10] (38912/50000):	Loss 0.2970	Accuracy 89.97%		Time 0.21s
03/19 05:59:16 PM | Epoch[10] (43776/50000):	Loss 0.2969	Accuracy 89.97%		Time 0.21s
03/19 05:59:16 PM | Epoch[10] (48640/50000):	Loss 0.2980	Accuracy 89.94%		Time 0.21s
03/19 05:59:17 PM | Test Loss 0.5572	Accuracy 81.80%		Time 0.33s

03/19 05:59:17 PM | Epoch[11] (4864/50000):	Loss 0.2823	Accuracy 90.88%		Time 0.30s
03/19 05:59:18 PM | Epoch[11] (9728/50000):	Loss 0.2921	Accuracy 90.54%		Time 0.21s
03/19 05:59:18 PM | Epoch[11] (14592/50000):	Loss 0.2980	Accuracy 90.29%		Time 0.21s
03/19 05:59:18 PM | Epoch[11] (19456/50000):	Loss 0.2957	Accuracy 90.31%		Time 0.21s
03/19 05:59:18 PM | Epoch[11] (24320/50000):	Loss 0.2910	Accuracy 90.38%		Time 0.21s
03/19 05:59:18 PM | Epoch[11] (29184/50000):	Loss 0.2943	Accuracy 90.30%		Time 0.21s
03/19 05:59:19 PM | Epoch[11] (34048/50000):	Loss 0.2978	Accuracy 90.16%		Time 0.21s
03/19 05:59:19 PM | Epoch[11] (38912/50000):	Loss 0.2968	Accuracy 90.21%		Time 0.21s
03/19 05:59:19 PM | Epoch[11] (43776/50000):	Loss 0.2961	Accuracy 90.20%		Time 0.21s
03/19 05:59:19 PM | Epoch[11] (48640/50000):	Loss 0.2971	Accuracy 90.14%		Time 0.21s
03/19 05:59:20 PM | Test Loss 0.4315	Accuracy 85.96%		Time 0.33s

03/19 05:59:20 PM | Epoch[12] (4864/50000):	Loss 0.3010	Accuracy 89.61%		Time 0.31s
03/19 05:59:20 PM | Epoch[12] (9728/50000):	Loss 0.2922	Accuracy 89.91%		Time 0.21s
03/19 05:59:21 PM | Epoch[12] (14592/50000):	Loss 0.2885	Accuracy 90.04%		Time 0.21s
03/19 05:59:21 PM | Epoch[12] (19456/50000):	Loss 0.2938	Accuracy 90.00%		Time 0.21s
03/19 05:59:21 PM | Epoch[12] (24320/50000):	Loss 0.2934	Accuracy 90.10%		Time 0.21s
03/19 05:59:21 PM | Epoch[12] (29184/50000):	Loss 0.2933	Accuracy 90.17%		Time 0.22s
03/19 05:59:21 PM | Epoch[12] (34048/50000):	Loss 0.2964	Accuracy 90.11%		Time 0.21s
03/19 05:59:22 PM | Epoch[12] (38912/50000):	Loss 0.2959	Accuracy 90.19%		Time 0.21s
03/19 05:59:22 PM | Epoch[12] (43776/50000):	Loss 0.2975	Accuracy 90.12%		Time 0.21s
03/19 05:59:22 PM | Epoch[12] (48640/50000):	Loss 0.2974	Accuracy 90.13%		Time 0.21s
03/19 05:59:22 PM | Test Loss 0.4437	Accuracy 85.13%		Time 0.33s

03/19 05:59:23 PM | Epoch[13] (4864/50000):	Loss 0.3014	Accuracy 89.92%		Time 0.31s
03/19 05:59:23 PM | Epoch[13] (9728/50000):	Loss 0.2960	Accuracy 90.30%		Time 0.21s
03/19 05:59:23 PM | Epoch[13] (14592/50000):	Loss 0.2922	Accuracy 90.32%		Time 0.21s
03/19 05:59:23 PM | Epoch[13] (19456/50000):	Loss 0.2888	Accuracy 90.39%		Time 0.21s
